,no,question1,question2,grade,lang,q1_tokens,q2_tokens
60,75,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,use trec approachvector space model could used corpus would not large,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['use', 'trec', 'approachvector', 'space', 'model', 'could', 'used', 'corpus', 'would', 'not', 'large']"
61,76,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,first divide corpus genres newsscienceeducationthen compare corpus question meaning semantic analysis semantic meaning question fits corpus make sense level similarity test find relevant text question,0,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['first', 'divide', 'corpus', 'genres', 'newsscienceeducationthen', 'compare', 'corpus', 'question', 'meaning', 'semantic', 'analysis', 'semantic', 'meaning', 'question', 'fits', 'corpus', 'make', 'sense', 'level', 'similarity', 'test', 'find', 'relevant', 'text', 'question']"
62,77,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,short question better using vector space model firstly part speech tagging give vector values compare vector values question sentence elemantary corpus,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['short', 'question', 'better', 'using', 'vector', 'space', 'model', 'firstly', 'part', 'speech', 'tagging', 'give', 'vector', 'values', 'compare', 'vector', 'values', 'question', 'sentence', 'elemantary', 'corpus']"
63,78,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,text-level semantic similarities,0,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['text-level', 'semantic', 'similarities']"
64,79,question knowledge-based following assume question query large text firstly would segment texts shorter passages like paragraphs would build semantic representations query locations dates times entities numeric formsquantities last order determine semantic relation question passages would map semantic representations query passages using wordnet like lexical databases way find relevant text,find example creat question-answering corpus data base short question calculate similarity function found relevant question-answer method determine dialogue act type example inform addresses etc semantics slots value,25,en,"['question', 'knowledge-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'firstly', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'would', 'build', 'semantic', 'representations', 'query', 'locations', 'dates', 'times', 'entities', 'numeric', 'formsquantities', 'last', 'order', 'determine', 'semantic', 'relation', 'question', 'passages', 'would', 'map', 'semantic', 'representations', 'query', 'passages', 'using', 'wordnet', 'like', 'lexical', 'databases', 'way', 'find', 'relevant', 'text']","['find', 'example', 'creat', 'question-answering', 'corpus', 'data', 'base', 'short', 'question', 'calculate', 'similarity', 'function', 'found', 'relevant', 'question-answer', 'method', 'determine', 'dialogue', 'act', 'type', 'example', 'inform', 'addresses', 'etc', 'semantics', 'slots', 'value']"
65,80,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,explicit -clearly t got question answer implct c -wth details question error handling topics error handlng implicit c find semantcally relevant text question ex aare flights frim city city b bthere several flights mornings city city b evenings relevant,0,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['explicit', '-clearly', '\x8dt', 'got', 'question', 'answer', 'impl\x8dc\x8dt', 'c', '-w\x8dth', 'details', 'question', 'error', 'handling', 'topics', 'error', 'handl\x98ng', 'implicit', 'c', 'find', 'semant\x8dcally', 'relevant', 'text', 'question', 'ex', 'aare', 'flights', 'frim', 'city', 'city', 'b', 'bthere', 'several', 'flights', 'mornings', 'city', 'city', 'b', 'evenings', 'relevant']"
66,82,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,using machine learning approach ie supervised unsupervised learning instance case corpus use cosine similarity measures find vector position text,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['using', 'machine', 'learning', 'approach', 'ie', 'supervised', 'unsupervised', 'learning', 'instance', 'case', 'corpus', 'use', 'cosine', 'similarity', 'measures', 'find', 'vector', 'position', 'text']"
67,83,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,first step question processing get information determine type question transform question query understood information retrieval systems use passage retrieval order get relevant passages relevant documents finally answer sent user answer contain relevant text semantically,75,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['first', 'step', 'question', 'processing', 'get', 'information', 'determine', 'type', 'question', 'transform', 'question', 'query', 'understood', 'information', 'retrieval', 'systems', 'use', 'passage', 'retrieval', 'order', 'get', 'relevant', 'passages', 'relevant', 'documents', 'finally', 'answer', 'sent', 'user', 'answer', 'contain', 'relevant', 'text', 'semantically']"
68,84,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,solve problem using information retrieval-based question answering techniques techniques consider question query apply preprocessing methodes deleting stop words query use information retrieval systems ex search engines find documents texts respond query use semantic similarity methods if-idf find semantically relevant text query question,100,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['solve', 'problem', 'using', 'information', 'retrieval-based', 'question', 'answering', 'techniques', 'techniques', 'consider', 'question', 'query', 'apply', 'preprocessing', 'methodes', 'deleting', 'stop', 'words', 'query', 'use', 'information', 'retrieval', 'systems', 'ex', 'search', 'engines', 'find', 'documents', 'texts', 'respond', 'query', 'use', 'semantic', 'similarity', 'methods', 'if-idf', 'find', 'semantically', 'relevant', 'text', 'query', 'question']"
69,85,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,calculate bank words similarity words sentence text using semantic analysis show options ambiguity words like bank user heshe choose,0,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['calculate', 'bank', 'words', 'similarity', 'words', 'sentence', 'text', 'using', 'semantic', 'analysis', 'show', 'options', 'ambiguity', 'words', 'like', 'bank', 'user', 'heshe', 'choose']"
70,86,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,semantic ambiguities,0,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['semantic', 'ambiguities']"
71,87,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,word called bank meanings coast financial institution time machine translate theese meanings together because ambiguity solve ambiguity two methods firstly machine compare bank word using similar corpus compares meaning corpus using translation secondly machine count bank word different meanings using counted meaning fisherman words together machine use compared bank meanings fisherman solve ambiguity,0,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['word', 'called', 'bank', 'meanings', 'coast', 'financial', 'institution', 'time', 'machine', 'translate', 'theese', 'meanings', 'together', 'because', 'ambiguity', 'solve', 'ambiguity', 'two', 'methods', 'firstly', 'machine', 'compare', 'bank', 'word', 'using', 'similar', 'corpus', 'compares', 'meaning', 'corpus', 'using', 'translation', 'secondly', 'machine', 'count', 'bank', 'word', 'different', 'meanings', 'using', 'counted', 'meaning', 'fisherman', 'words', 'together', 'machine', 'use', 'compared', 'bank', 'meanings', 'fisherman', 'solve', 'ambiguity']"
72,88,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,consider words together sentence one use neural based machine translation approach first find meaning words seperately compare probabilities fisherman bank datasets finally find generally fisherman goes coast translate sentence correctly said consider sentence word,40,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['consider', 'words', 'together', 'sentence', 'one', 'use', 'neural', 'based', 'machine', 'translation', 'approach', 'first', 'find', 'meaning', 'words', 'seperately', 'compare', 'probabilities', 'fisherman', 'bank', 'datasets', 'finally', 'find', 'generally', 'fisherman', 'goes', 'coast', 'translate', 'sentence', 'correctly', 'said', 'consider', 'sentence', 'word']"
73,89,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,translation semantic ambiguity problem first understand word feature use semantic analyze understand meaning word analyze cannot get solution case getting meaningfull output use vector space find nearest meaning,0,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['translation', 'semantic', 'ambiguity', 'problem', 'first', 'understand', 'word', 'feature', 'use', 'semantic', 'analyze', 'understand', 'meaning', 'word', 'analyze', 'can', 'not', 'get', 'solution', 'case', 'getting', 'meaningfull', 'output', 'use', 'vector', 'space', 'find', 'nearest', 'meaning']"
74,90,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,use wordnet translation model prevent ambiguities semantic ambiguity problem wordnet used tools handle semantic ambiguity,40,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['use', 'wordnet', 'translation', 'model', 'prevent', 'ambiguities', 'semantic', 'ambiguity', 'problem', 'wordnet', 'used', 'tools', 'handle', 'semantic', 'ambiguity']"
75,91,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,use wordnet calculate relation fisherman bank try senses word give score like text level semantic similarity,60,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['use', 'wordnet', 'calculate', 'relation', 'fisherman', 'bank', 'try', 'senses', 'word', 'give', 'score', 'like', 'text', 'level', 'semantic', 'similarity']"
76,93,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,firstly label words pos taggingother hand give lots corpus includes view example ambiguity like theseif word mean ambiguity teach machine looking sentence near wordstheir means dictionary match near meanfor example bank word looking sentence fisherman relation financial coast,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['firstly', 'label', 'words', 'pos', 'taggingother', 'hand', 'give', 'lots', 'corpus', 'includes', 'view', 'example', 'ambiguity', 'like', 'theseif', 'word', 'mean', 'ambiguity', 'teach', 'machine', 'looking', 'sentence', 'near', 'wordstheir', 'means', 'dictionary', 'match', 'near', 'meanfor', 'example', 'bank', 'word', 'looking', 'sentence', 'fisherman', 'relation', 'financial', 'coast']"
77,94,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,assume machine translate english language turkish languagewe english gramer rulesturkish grammer rules corpuswhen translate word words one meaningwe one sentence use statistical machine translationwe calculate probabilities mean bank used chose,0,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['assume', 'machine', 'translate', 'english', 'language', 'turkish', 'languagewe', 'english', 'gramer', 'rulesturkish', 'grammer', 'rules', 'corpuswhen', 'translate', 'word', 'words', 'one', 'meaningwe', 'one', 'sentence', 'use', 'statistical', 'machine', 'translationwe', 'calculate', 'probabilities', 'mean', 'bank', 'used', 'chose']"
78,95,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,problem include semantic ambiguity fisherman went bank uzunluk ne kadar artarsa uyumluluk kadar azalr bankfinancial fishermane bankcoastdan daha uzak bu yzden coast seilir,40,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['problem', 'include', 'semantic', 'ambiguity', 'fisherman', 'went', 'bank', 'uzunluk', 'ne', 'kadar', 'artarsa', 'uyumluluk', 'kadar', 'azal\x8dr', 'bankfinancial', 'fishermane', 'bankcoastdan', 'daha', 'uzak', 'bu', 'y\x81zden', 'coast', 'se\x87ilir']"
79,96,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,use knowledge-based wsd morphological ambiguityif words like seafishermanocean algorithm choose coast meanon hand text contains financial terms algorithm understand bank,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['use', 'knowledge-based', 'wsd', 'morphological', 'ambiguityif', 'words', 'like', 'seafishermanocean', 'algorithm', 'choose', 'coast', 'meanon', 'hand', 'text', 'contains', 'financial', 'terms', 'algorithm', 'understand', 'bank']"
80,98,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,use wordnet based disambiguation sentence fisherman went bank fisherman wordnet see relation fisherman - coast higher relation fisherman financial see bank word mean coast,100,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['use', 'wordnet', 'based', 'disambiguation', 'sentence', 'fisherman', 'went', 'bank', 'fisherman', 'wordnet', 'see', 'relation', 'fisherman', '-', 'coast', 'higher', 'relation', 'fisherman', 'financial', 'see', 'bank', 'word', 'mean', 'coast']"
81,100,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,corpus important machine translation also use semantic anlaysis related ambiguites need firstly target language model translation model calculate probabilities using neural based machine translation translate word-to-wordso know part translated instance look mean word according words sentences find correct mean weard using semantis disambiguitons model translate also use parallel corpara translation,40,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['corpus', 'important', 'machine', 'translation', 'also', 'use', 'semantic', 'anlaysis', 'related', 'ambiguites', 'need', 'firstly', 'target', 'language', 'model', 'translation', 'model', 'calculate', 'probabilities', 'using', 'neural', 'based', 'machine', 'translation', 'translate', 'word-to-wordso', 'know', 'part', 'translated', 'instance', 'look', 'mean', 'word', 'according', 'words', 'sentences', 'find', 'correct', 'mean', 'weard', 'using', 'semantis', 'disambiguitons', 'model', 'translate', 'also', 'use', 'parallel', 'corpara', 'translation']"
82,102,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,firstly look banks surrounding words know generally similar words similar sentences look wordnet relations wordnet gives shortest path word look words sentence brings right sense bank problem solved,80,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['firstly', 'look', 'banks', 'surrounding', 'words', 'know', 'generally', 'similar', 'words', 'similar', 'sentences', 'look', 'wordnet', 'relations', 'wordnet', 'gives', 'shortest', 'path', 'word', 'look', 'words', 'sentence', 'brings', 'right', 'sense', 'bank', 'problem', 'solved']"
83,103,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,question use lesk algorithm lesk algorithm check vacoblary dictonary compare means another problems deyimler ataszleri also teach machine special sentencesafter read text decide main idea software learn solve problem,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['question', 'use', 'lesk', 'algorithm', 'lesk', 'algorithm', 'check', 'vacoblary', 'dictonary', 'compare', 'means', 'another', 'problems', 'deyimler', 'atas\x94zleri', 'also', 'teach', 'machine', 'special', 'sentencesafter', 'read', 'text', 'decide', 'main', 'idea', 'software', 'learn', 'solve', 'problem']"
84,104,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,semantic similarity,0,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['semantic', 'similarity']"
85,105,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,use neural based machine translation system determining terms individual nodes represents synthess edges represent relations bank - bank,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['use', 'neural', 'based', 'machine', 'translation', 'system', 'determining', 'terms', 'individual', 'nodes', 'represents', 'synthess', 'edges', 'represent', 'relations', 'bank', '-', 'bank']"
